file,name,aliases,description,category,permission,cooldown_ms,line_start,line_end
tests/menu.test.js,groupinfo,,Show group information,group,public,,247,252
tests/menu.test.js,groupinfo,,Show group information,group,public,,362,367
src/framework/plugins/group-moderation.ts,groupmode,,Update guarded group settings,moderation,public,,120,163
tests/permissions.test.js,groupownerprobe,,,,group.owner,,111,115
src/framework/plugins/group.ts,groupsettings,,Show active group configuration,group,public,,509,531
src/framework/plugins/group-setup-mission.ts,groupsetup,setupgroup,Start or resume the persistent group setup mission,group,group.admin,3000,49,97
src/framework/plugins/character-guide.ts,guider,,Lihat admin yang menjadi kontak Guide grup,your-character,public,,599,614
src/framework/plugins/group-governance.ts,handoff,handover,Manage bounded moderator handoff,governance,public,,142,178
src/framework/plugins/diagnostics.ts,health,,Show a concise non-sensitive framework health snapshot,system,public,3000,56,66
tests/framework.test.js,hello,hi,,,public,1000,81,86
tests/integration.test.js,hello,,,,public,,59,62
src/framework/plugins/group-governance.ts,invite,,Inspect or revoke the group invite safely,governance,public,,240,272
src/framework/plugins/group-governance.ts,join,,Approve or reject a bounded join request,governance,public,,217,238
src/framework/plugins/group-governance.ts,joinrequests,joinlist,List bounded group join requests,governance,public,,197,215
src/framework/plugins/knowledge.ts,knowledge,know,Show explicit knowledge status,knowledge,public,,87,99
src/framework/plugins/knowledge.ts,knowledgeexport,knowexport|exportcatatan,Export visible explicit knowledge records,knowledge,public,,253,270
src/framework/plugins/group.ts,link,,Show the group invite link for administrators,group,public,,284,297
src/framework/plugins/canon.ts,lore,,Show approved lore/canon entries,roleplay,public,,172,187
src/framework/plugins/group.ts,membercount,,Show total members and administrators,group,public,,217,228
src/framework/plugins/group.ts,memberinfo,,Show role information for a mentioned member,group,public,,259,282
src/framework/plugins/group.ts,members,memberlist,List group members with pagination,group,public,,245,257
src/framework/plugins/menu.ts,menu,m|help,Show Allybot categories and available commands,system,public,3000,443,452
src/framework/plugins/menu.ts,menu-reply,,Internal menu reply navigation,system,public,0,454,461
src/framework/plugins/group-moderation.ts,modaction,moderate,Run a guarded participant moderation action,moderation,public,,68,118
src/framework/plugins/group-moderation.ts,modstatus,,Show guarded moderation action status,moderation,public,,165,183
src/framework/plugins/character.ts,mood,,Atur mood character aktif,roleplay,public,,171,199
src/framework/plugins/personalization.ts,mylanguage,,Set personal language preference,personalization,public,,212,220
src/framework/plugins/personalization.ts,myprefs,mypreferences|prefs,Show effective and personal preferences,personalization,public,,150,170
src/framework/plugins/personalization.ts,mytimezone,,Set personal IANA timezone preference,personalization,public,,222,230
src/framework/plugins/personalization.ts,notify,,Enable or disable personal notifications,personalization,public,,242,250
src/framework/plugins/onboarding.ts,onboarding,onboard,Bounded group onboarding workflow,community,public,,61,120
src/framework/plugins/group-context.ts,ooc,,Kirim pesan di luar karakter pada grup IC,group,public,0,218,277
tests/framework.test.js,other,jid,,,public,,170,170
src/framework/plugins/technical.ts,owner,,Show the safe public Owner profile and control-plane status,system,public,3000,127,150
tests/menu.test.js,owner-help,,Owner command,owner,public,,135,135
tests/menu.test.js,owner-help,,Owner command,owner,public,,144,144
tests/permissions.test.js,ownerprobe,,,,bot.owner,,106,110
tests/framework.test.js,partial-boom,,,,public,,130,130
tests/framework.test.js,partial-command,,,,public,,260,260
tests/framework.test.js,partial-failure,,,,public,,257,265
src/framework/plugins/scene.ts,pause,,Pause a scene owned by the actor,roleplay,public,,183,191
src/framework/plugins/group.ts,permissions,,Show the basic permissions associated with your group role,group,public,,662,684
src/framework/plugins/personalization.ts,personalization,personal,Show Personalization status and scope,personalization,public,,116,128
src/framework/plugins/technical.ts,ping,,Check Allybot response latency and uptime,system,public,3000,110,125
tests/menu.test.js,ping,,Check bot latency,general,public,,65,71
tests/menu.test.js,ping,,Check bot latency,general,public,,161,167
tests/menu.test.js,ping,,Check bot latency,general,public,,178,184
tests/menu.test.js,ping,,Check bot latency,general,public,,193,199
tests/menu.test.js,ping,,Check bot latency,general,public,,241,246
tests/menu.test.js,ping,,Check bot latency,general,public,,283,283
tests/menu.test.js,ping,,Check bot latency,general,public,,299,299
tests/menu.test.js,ping,,Check bot latency,general,public,,313,318
tests/menu.test.js,ping,,Check bot latency,general,public,,356,361
src/framework/plugins/collaboration.ts,poll,jajak,"Create, inspect, or close a collaboration poll",collaboration,public,,167,232
src/framework/plugins/personalization.ts,preferences,groupprefs,Set group notification and presentation policy,personalization,public,,172,210
src/framework/plugins/group.ts,prefix,,Show the active command prefix for the current group,group,public,,533,556
src/framework/plugins/utility.ts,privacy,,Baca ringkasan cara Allybot menjaga data,tools,public,,353,360
tests/runtime-acceptance.test.js,protected,,,,bot.owner,,165,169
src/framework/plugins/personalization.ts,quiet,,Set personal quiet hours,personalization,public,,232,240
src/framework/plugins/knowledge.ts,quote,,Show explicitly quoted message text without saving it,knowledge,public,,122,138
src/framework/plugins/utility-fun.ts,random,,Pilih angka acak dalam rentang tertentu,fun,public,,59,75
tests/framework.test.js,ready-failure,,,,public,,312,320
tests/framework.test.js,ready-failure-command,,,,public,,315,315
tests/framework.test.js,reloadable,,,,public,,218,224
tests/framework.test.js,reloadable-command,,,,public,,221,221
src/framework/plugins/collaboration.ts,remind,ingatkan,Schedule a persistent group reminder,collaboration,public,,264,287
src/framework/plugins/collaboration.ts,remindcancel,,Cancel a group reminder created by you,collaboration,public,,303,321
src/framework/plugins/collaboration.ts,reminders,reminder,List active group reminders,collaboration,public,,289,301
tests/framework.test.js,reply-failure,,,,public,,153,153
src/framework/plugins/group-safety.ts,report,,Report a group safety case,moderation,public,,178,199
src/framework/plugins/group-governance.ts,retcon,,Review bounded retcon proposals,governance,public,,79,140
src/framework/plugins/character-guide.ts,retry,retrycharacter,Ulangi pendaftaran Character Sheet,your-character,public,5000,498,519
src/framework/plugins/group.ts,role,,Show your role or the role of a mentioned member,group,public,,644,660
src/framework/plugins/utility-fun.ts,roll,dice,"Lempar dadu, misalnya 2d6",fun,public,,102,118
src/framework/plugins/utility-fun.ts,rps,suit,Main batu gunting kertas melawan Allybot,fun,public,,140,157
src/framework/plugins/group.ts,rules,,Show the current group rules,group,public,,299,319
src/framework/plugins/group.ts,ruleshistory,,Show recent group rules changes,group,public,,321,367
src/framework/plugins/group-safety.ts,safety,,Show group safety mode,moderation,public,,67,81
src/framework/plugins/character-guide.ts,savecharacter,savechar,Simpan Character Sheet dari reply ID Card,your-character,public,5000,429,496
src/framework/plugins/scene.ts,scene,,Manage bounded roleplay scenes,roleplay,public,,100,148
src/framework/plugins/utility.ts,searchcmd,,Cari command berdasarkan kata kunci,tools,public,,319,333
tests/menu.test.js,secret,,Hidden internal command,owner,public,,72,78
tests/framework.test.js,self-test,,,,public,,191,194
src/framework/plugins/canon.ts,setcanon,cerita,Enable or disable Canon per group,roleplay,public,,151,170
src/framework/plugins/collaboration.ts,setcollab,collabmode,Enable or disable Collaboration per group,collaboration,public,,125,144
src/framework/plugins/group-context.ts,setgroup,groupmode,Atur mode dan konteks sebuah grup,group,public,,150,216
src/framework/plugins/knowledge.ts,setknowledge,catatan,Enable or disable explicit knowledge capture,knowledge,public,,101,120
src/framework/plugins/group.ts,setlanguage,,Set the language preference for the current group,group,public,,597,617
src/framework/plugins/group.ts,setleave,,Set a custom leave message for the current group,group,public,,464,489
src/framework/plugins/collaboration.ts,setnativepoll,pollmode,Enable optional native poll presentation,collaboration,public,,146,165
src/framework/plugins/personalization.ts,setpersonalization,,Enable or disable Personalization per group,personalization,public,,130,148
src/framework/plugins/group.ts,setprefix,,Set the command prefix for the current group,group,public,,558,595
src/framework/plugins/group.ts,setrules,,Set the rules for the current group,group,public,,369,397
src/framework/plugins/group-safety.ts,setsafety,,Enable or disable group safety dry-run,moderation,public,,83,108
src/framework/plugins/scene.ts,setscene,adegan,Enable or disable Scene per group,roleplay,public,,150,169
src/framework/plugins/group.ts,settimezone,,Set the IANA timezone for the current group,group,public,,619,642
src/framework/plugins/group.ts,setwelcome,,Set a custom welcome message for the current group,group,public,,419,444
src/framework/plugins/knowledge.ts,source,sourceinfo,Read one explicit source by short id,knowledge,public,,189,207
src/framework/plugins/utility.ts,status,,Lihat status umum Allybot,tools,public,,266,282
tests/runtime-acceptance.test.js,status,,Acceptance status command,general,public,,190,195
src/framework/plugins/media.ts,sticker,stiker,Ubah gambar menjadi sticker,media,public,,107,115
tests/runtime-acceptance.test.js,stop-check,,,,public,,235,238
src/framework/plugins/suggestion-relay.ts,suggest,suggestion|usul,Typed suggestion from explicit approved context,ai,public,,66,112
src/framework/plugins/ai.ts,summarize,ringkas,Ringkas teks yang kamu kirim secara langsung,ai,public,,68,89
src/framework/plugins/utility.ts,support,,Lihat langkah bantuan saat command bermasalah,tools,public,,362,369
src/framework/plugins/collaboration.ts,task,tugas,Create a collaboration task,collaboration,public,,323,346
src/framework/plugins/collaboration.ts,taskdone,,Complete your assigned or created task,collaboration,public,,361,379
src/framework/plugins/collaboration.ts,tasks,,List collaboration tasks,collaboration,public,,348,359
src/framework/plugins/utility.ts,time,,Lihat waktu pada zona tertentu,tools,public,,406,429
src/framework/plugins/media.ts,toaudio,audio,Ambil audio dari video atau audio,media,public,,134,142
src/framework/plugins/media.ts,togif,gif,Ubah video pendek menjadi GIF,media,public,,125,133
src/framework/plugins/media.ts,toimg,togambar,Ubah sticker menjadi gambar,media,public,,116,124
src/framework/plugins/ai.ts,translate,terjemah|trans,Terjemahkan teks yang kamu kirim secara langsung,ai,public,,45,66
src/framework/plugins/utility-fun.ts,truth,jujur,Dapatkan pertanyaan truth ringan,fun,public,,120,128
tests/permissions.test.js,unknownprobe,,,,unknown.permission,,116,120
src/framework/plugins/utility.ts,uptime,,Lihat lama Allybot berjalan,tools,public,,284,291
tests/framework.test.js,validated,,,,public,,87,91
tests/runtime-acceptance.test.js,validated,,,,public,,137,141
tests/framework.test.js,validated-cooldown,,,,public,10000,108,113
src/framework/plugins/economy.ts,vela,wallet,Lihat saldo Wallet dan Safe Vela,your-character,public,3000,329,346
src/framework/plugins/personalization.ts,verbosity,balasan,Set personal response verbosity,personalization,public,,252,261
src/framework/plugins/utility.ts,version,,Lihat informasi runtime non-sensitif,tools,public,,344,351
src/framework/plugins/collaboration.ts,vote,,Record one vote in a collaboration poll,collaboration,public,,234,262
src/framework/plugins/group-safety.ts,warn,,Issue an auditable warning to a group member,moderation,public,,110,132
src/framework/plugins/group-safety.ts,warnings,warns,List recent group warnings,moderation,public,,134,151
src/framework/plugins/group-context.ts,whitelistooc,oocwhitelist,Kelola daftar user yang boleh OOC di grup IC,group,public,,279,339
